Columna,Tipo_Python,Valores_Unicos,Valores_Nulos,Pct_Nulos,Pct_Completitud,Memoria_MB,Min,Max,Media,Mediana,Tipo_Variable
male,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.42924528301886794,0.0,Numérica
age,int64,39,0,0.00%,100.00%,0.032474517822265625,32.0,70.0,49.58018867924528,49.0,Numérica
education,float64,4,0,0.00%,100.00%,0.032474517822265625,1.0,4.0,1.955188679245283,2.0,Numérica
currentSmoker,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.49410377358490565,0.0,Numérica
cigsPerDay,float64,33,0,0.00%,100.00%,0.032474517822265625,0.0,70.0,8.94433962264151,0.0,Numérica
BPMeds,float64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.029245283018867925,0.0,Numérica
prevalentStroke,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.00589622641509434,0.0,Numérica
prevalentHyp,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.3106132075471698,0.0,Numérica
diabetes,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.025707547169811322,0.0,Numérica
totChol,float64,248,0,0.00%,100.00%,0.032474517822265625,107.0,696.0,236.6676886792453,234.0,Numérica
sysBP,float64,234,0,0.00%,100.00%,0.032474517822265625,83.5,295.0,132.35459905660377,128.0,Numérica
diaBP,float64,146,0,0.00%,100.00%,0.032474517822265625,48.0,142.5,82.89775943396226,82.0,Numérica
BMI,float64,1364,0,0.00%,100.00%,0.032474517822265625,15.54,56.8,25.79900471698113,25.4,Numérica
heartRate,float64,73,0,0.00%,100.00%,0.032474517822265625,44.0,143.0,75.87877358490566,75.0,Numérica
glucose,float64,143,388,9.15%,90.85%,0.032474517822265625,40.0,394.0,81.96365524402907,78.0,Numérica
TenYearCHD,int64,2,0,0.00%,100.00%,0.032474517822265625,0.0,1.0,0.15188679245283018,0.0,Numérica
